bjd,rv_ms,rv_err_ms,instrument
2456950.31555,-21.6,2.5,HARPS
2456952.40786,38.4,2.5,HARPS
2456953.67853,-22.4,2.5,HARPS
2456953.68454,-27.2,2.5,HARPS
2456953.72880,-25.9,2.5,HARPS
2456954.12683,-37.1,2.5,HARPS
2456954.39421,-30.4,2.5,HARPS
2456954.47772,-35.7,2.5,HARPS
2456956.35114,12.9,2.5,HARPS
2456960.24383,-21.1,2.5,HARPS
2456961.71340,14.0,2.5,HARPS
2456966.67166,-13.3,2.5,HARPS
2456966.87390,-23.1,2.5,HARPS
2456968.61605,33.8,2.5,HARPS
2456974.82703,10.7,2.5,HARPS
2456975.40064,36.1,2.5,HARPS
2456977.31207,-35.8,2.5,HARPS
2456978.61592,35.5,2.5,HARPS
2456982.91761,-3.3,2.5,HARPS
2456982.96736,-1.3,2.5,HARPS
2456983.66088,-35.8,2.5,HARPS
2456984.26864,-13.3,2.5,HARPS
2456952.11167,11.6,7.5,CORALIE
2456952.74413,27.5,7.5,CORALIE
2456955.72256,14.1,7.5,CORALIE
2456956.48371,5.1,7.5,CORALIE
2456963.15035,-14.9,7.5,CORALIE
2456964.41447,-24.7,7.5,CORALIE
2456965.62256,28.0,7.5,CORALIE
2456970.38406,-45.3,7.5,CORALIE
2456971.35329,-18.3,7.5,CORALIE
2456971.79118,22.3,7.5,CORALIE
2456974.46225,-17.7,7.5,CORALIE
2456975.92216,21.9,7.5,CORALIE
2456976.08062,7.3,7.5,CORALIE
2456976.78505,-35.5,7.5,CORALIE
