bjd,rv_ms,rv_err_ms,instrument
2456444.763410,-41869.460,44.740,CORALIE
2456449.736303,-42224.970,40.850,CORALIE
2456450.635492,-42245.620,33.770,CORALIE
2456452.650334,-42062.380,32.680,CORALIE
2456455.706525,-41730.350,53.480,CORALIE
2456457.736328,-41962.410,46.740,CORALIE
2456458.620901,-41841.960,40.580,CORALIE
2456459.712307,-42173.140,36.950,CORALIE
2456460.743598,-42232.950,58.410,CORALIE
2456473.673075,-42256.830,60.010,CORALIE
2456486.574964,-42266.570,47.050,CORALIE
2456505.616157,-41749.760,39.000,CORALIE
2456510.540438,-42118.850,37.680,CORALIE
2456511.574488,-42245.440,40.430,CORALIE
2456514.586756,-42109.680,42.630,CORALIE
2456531.522065,-41740.050,76.260,CORALIE
2456532.558492,-41775.990,71.810,CORALIE
2456545.498645,-41775.480,41.200,CORALIE
