bjd,rv_ms,rv_err_ms,instrument
2454433.544769,-1508.270,4.500,CORALIE
2454434.572228,-1591.450,4.200,CORALIE
2454435.576714,-1690.890,4.540,CORALIE
2454439.527071,-1375.480,6.980,CORALIE
2454440.537123,-1399.270,4.110,CORALIE
2454441.566653,-1482.230,4.350,CORALIE
2454442.567759,-1577.060,4.070,CORALIE
2454443.537919,-1667.010,4.130,CORALIE
2454444.545379,-1760.670,4.310,CORALIE
2454445.541798,-1815.200,3.920,CORALIE
2454446.536748,-1728.640,3.760,CORALIE
2454446.630617,-1694.580,4.430,CORALIE
2454447.535435,-1434.790,4.150,CORALIE
2454447.635913,-1413.650,4.490,CORALIE
2454449.572230,-1460.260,4.990,CORALIE
2454450.537125,-1565.520,4.440,CORALIE
2454453.538249,-1814.610,3.610,CORALIE
2454454.538258,-1753.930,3.950,CORALIE
2454454.606597,-1744.450,3.640,CORALIE
2454455.537689,-1447.860,4.090,CORALIE
2454455.614685,-1438.970,3.780,CORALIE
2454720.638690,-1614.080,4.120,CORALIE
2454722.698683,-1768.850,3.770,CORALIE
2454724.627329,-1471.410,3.960,CORALIE
2454730.692373,-1773.910,3.740,CORALIE
2454743.612231,-1434.820,1.360,HARPS
2454743.774423,-1454.610,1.170,HARPS
2454744.482242,-1519.940,2.320,HARPS
2454744.488457,-1524.950,2.150,HARPS
2454744.492311,-1520.600,2.130,HARPS
2454744.496188,-1523.730,2.060,HARPS
2454744.500054,-1524.460,2.180,HARPS
2454744.503862,-1523.670,2.380,HARPS
2454744.507623,-1530.710,2.300,HARPS
2454744.511570,-1527.520,2.260,HARPS
2454744.515331,-1525.940,2.020,HARPS
2454744.519173,-1527.630,2.140,HARPS
2454744.523120,-1526.290,1.980,HARPS
2454744.526812,-1524.600,2.260,HARPS
2454744.530770,-1532.780,2.340,HARPS
2454744.534613,-1528.370,2.210,HARPS
2454744.538328,-1534.780,2.290,HARPS
2454744.542205,-1531.840,2.590,HARPS
2454744.546082,-1528.500,2.450,HARPS
2454744.549913,-1532.040,2.480,HARPS
2454744.553721,-1531.670,2.440,HARPS
2454744.557552,-1529.290,2.460,HARPS
2454744.561498,-1518.090,2.440,HARPS
2454744.565271,-1531.400,2.410,HARPS
2454744.569102,-1525.340,2.370,HARPS
2454744.572910,-1524.690,2.440,HARPS
2454744.576741,-1530.870,2.610,HARPS
2454744.580583,-1529.660,2.630,HARPS
2454744.584414,-1530.900,2.690,HARPS
2454744.588291,-1524.070,2.700,HARPS
2454744.592469,-1520.490,2.010,HARPS
2454744.595976,-1522.150,1.640,HARPS
2454744.599853,-1520.870,1.590,HARPS
2454744.603545,-1523.280,1.650,HARPS
2454744.607584,-1525.340,1.730,HARPS
2454744.611427,-1520.550,1.660,HARPS
2454744.615188,-1520.460,1.630,HARPS
2454744.619031,-1521.210,1.660,HARPS
2454744.622873,-1520.170,1.610,HARPS
2454744.626715,-1519.140,1.640,HARPS
2454744.630477,-1519.580,1.660,HARPS
2454744.634400,-1522.390,1.660,HARPS
2454744.638231,-1522.470,1.530,HARPS
2454744.642004,-1522.460,1.530,HARPS
2454744.645893,-1523.710,1.730,HARPS
2454744.649839,-1521.490,1.600,HARPS
2454744.653566,-1520.940,1.510,HARPS
2454744.657409,-1523.860,1.580,HARPS
2454744.661286,-1521.770,1.460,HARPS
2454744.665117,-1524.660,1.540,HARPS
2454744.668913,-1524.490,1.450,HARPS
2454744.672755,-1527.720,1.450,HARPS
2454744.676667,-1529.100,1.520,HARPS
2454744.680544,-1538.220,1.700,HARPS
2454744.684306,-1537.030,1.700,HARPS
2454744.688125,-1539.300,1.740,HARPS
2454744.691933,-1539.340,1.720,HARPS
2454744.695914,-1542.440,1.700,HARPS
2454744.699606,-1539.200,1.590,HARPS
2454744.703495,-1540.280,1.640,HARPS
2454744.707221,-1544.400,1.760,HARPS
2454744.711203,-1542.960,1.960,HARPS
2454744.714976,-1541.360,2.010,HARPS
2454744.718969,-1542.970,2.100,HARPS
2454744.722776,-1543.110,1.710,HARPS
2454744.726607,-1546.030,1.660,HARPS
2454744.730403,-1543.680,1.610,HARPS
2454744.734246,-1546.100,1.640,HARPS
2454744.738042,-1544.760,1.590,HARPS
2454744.741826,-1546.890,1.700,HARPS
2454744.745738,-1544.310,1.730,HARPS
2454744.749616,-1545.290,1.840,HARPS
2454744.753423,-1551.290,1.740,HARPS
2454744.757185,-1547.640,1.700,HARPS
2454744.761097,-1547.850,1.820,HARPS
2454744.764939,-1550.140,1.680,HARPS
2454744.830492,-1554.290,1.900,HARPS
2454745.616084,-1627.280,0.970,HARPS
2454745.763428,-1638.970,1.040,HARPS
2454746.660855,-1711.610,0.920,HARPS
2454760.617310,-1531.550,3.680,CORALIE
2454761.663775,-1624.080,3.860,CORALIE
2454762.689811,-1702.120,3.860,CORALIE
2454763.530963,-1751.200,4.120,CORALIE
2454763.749977,-1756.230,4.360,CORALIE
