bjd,rv_ms,rv_err_ms,instrument
2455413.489900,-3080.000,9.000,CORALIE
2455596.847500,-3202.000,7.000,CORALIE
2455622.716800,-3200.000,10.000,CORALIE
2455623.780800,-3109.000,27.000,CORALIE
2455624.757000,-3052.000,7.000,CORALIE
2455626.709200,-3191.000,8.000,CORALIE
2455629.865900,-3216.000,8.000,CORALIE
2455635.780200,-3057.000,9.000,CORALIE
2455637.817100,-3187.000,10.000,CORALIE
2455638.820000,-3101.000,7.000,CORALIE
2455639.888100,-3091.000,7.000,CORALIE
2455646.477800,-3067.000,12.000,SOPHIE
2455646.730900,-3061.000,7.000,CORALIE
2455647.678900,-3149.000,6.000,CORALIE
2455648.705700,-3205.000,6.000,CORALIE
2455649.444000,-3150.000,12.000,SOPHIE
2455651.834700,-3191.000,8.000,CORALIE
2455659.518000,-3199.000,12.000,SOPHIE
2455663.539700,-3179.000,16.000,SOPHIE
2455664.525500,-3117.000,35.000,SOPHIE
2455665.495700,-2999.000,55.000,SOPHIE
2455668.422800,-3110.000,25.000,SOPHIE
2455677.588700,-3173.000,7.000,CORALIE
