bjd,rv_ms,rv_err_ms,instrument
2456202.40695,-185.6,3.5,HARPS
2456203.20188,29.5,3.5,HARPS
2456203.80137,-149.2,3.5,HARPS
2456205.45338,246.1,3.5,HARPS
2456206.94193,319.9,3.5,HARPS
2456207.25562,60.2,3.5,HARPS
2456207.76091,-275.2,3.5,HARPS
2456208.03513,80.6,3.5,HARPS
2456208.36406,312.5,3.5,HARPS
2456211.56832,-246.4,3.5,HARPS
2456212.61910,170.8,3.5,HARPS
2456214.67290,-148.4,3.5,HARPS
2456215.69756,-280.3,3.5,HARPS
2456216.24005,141.5,3.5,HARPS
2456216.34733,259.7,3.5,HARPS
2456216.54588,309.9,3.5,HARPS
2456217.92902,296.6,3.5,HARPS
2456220.06485,-210.8,3.5,HARPS
2456202.25380,-340.9,9.5,CORALIE
2456202.73087,236.7,9.5,CORALIE
2456203.81045,-146.9,9.5,CORALIE
2456204.72866,-219.0,9.5,CORALIE
2456209.39480,68.2,9.5,CORALIE
2456209.44520,138.7,9.5,CORALIE
2456209.85471,221.0,9.5,CORALIE
2456213.15919,-319.0,9.5,CORALIE
2456213.94879,186.6,9.5,CORALIE
2456215.85306,-339.0,9.5,CORALIE
2456216.53028,297.3,9.5,CORALIE
2456219.98799,-298.0,9.5,CORALIE
